epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.23,1.68896,3.33142,1.7076,0.56487,0.47707,0.49304,0.2834,1.53047,1.80494,1.58723,0.00333101,0.00333101,0.00333101
2,494.439,1.5495,2.08271,1.53331,0.65626,0.56985,0.6124,0.34702,1.55439,1.57305,1.56571,0.00658187,0.00658187,0.00658187
3,734.507,1.5961,1.78875,1.57002,0.64767,0.51181,0.56655,0.29746,1.69943,1.64617,1.7058,0.00975024,0.00975024,0.00975024
4,972.546,1.60113,1.67364,1.58698,0.66115,0.60494,0.65363,0.36282,1.54689,1.41128,1.59054,0.00962875,0.00962875,0.00962875
5,1210.92,1.53796,1.51743,1.54492,0.72493,0.63251,0.67419,0.38582,1.48961,1.32955,1.55893,0.009505,0.009505,0.009505
6,1449.08,1.5,1.4211,1.51075,0.69608,0.67527,0.71586,0.43035,1.43673,1.24426,1.52744,0.00938125,0.00938125,0.00938125
7,1687.07,1.45941,1.34856,1.48451,0.73573,0.71124,0.75553,0.45425,1.41116,1.12817,1.48553,0.0092575,0.0092575,0.0092575
8,1926.74,1.43026,1.28255,1.459,0.73037,0.72882,0.76607,0.45521,1.40441,1.13183,1.48278,0.00913375,0.00913375,0.00913375
9,2164.52,1.41953,1.25493,1.45363,0.76115,0.75066,0.77651,0.47389,1.37304,1.05057,1.47197,0.00901,0.00901,0.00901
10,2403.36,1.3947,1.21112,1.43414,0.73859,0.77105,0.78871,0.47965,1.38182,1.00677,1.44115,0.00888625,0.00888625,0.00888625
11,2643.5,1.38927,1.19104,1.43178,0.77677,0.74445,0.79334,0.4851,1.33628,1.00333,1.43547,0.0087625,0.0087625,0.0087625
12,2884.77,1.36566,1.15594,1.41498,0.77799,0.7686,0.80868,0.50475,1.32763,0.95855,1.42991,0.00863875,0.00863875,0.00863875
13,3126.25,1.36462,1.15127,1.41319,0.76986,0.77687,0.81096,0.49315,1.3385,0.95532,1.43111,0.008515,0.008515,0.008515
