epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9215,1.96689,3.20668,1.95191,0.27429,0.17648,0.11185,0.03907,2.24152,3.27106,2.68593,0.000552916,0.000552916,0.000552916
2,120.358,1.922,2.53377,1.86576,0.26476,0.23118,0.16619,0.05907,2.37702,2.63706,2.45602,0.00109486,0.00109486,0.00109486
3,177.792,1.93528,2.29587,1.86182,0.41221,0.25518,0.23552,0.09471,2.37813,3.40861,2.55125,0.00162306,0.00162306,0.00162306
4,233.889,1.92311,2.10856,1.82505,0.49412,0.40541,0.40163,0.15913,2.14203,2.43717,2.28267,0.00160511,0.00160511,0.00160511
5,291.129,1.86205,1.99224,1.78296,0.54611,0.34542,0.3551,0.14678,2.1867,2.47849,2.25038,0.00158448,0.00158448,0.00158448
6,348.089,1.83089,1.92827,1.74908,0.54435,0.44511,0.40555,0.16942,2.22897,2.23921,2.30931,0.00156385,0.00156385,0.00156385
7,404.333,1.77418,1.78977,1.712,0.58236,0.50345,0.51908,0.22236,2.06031,1.95657,2.17038,0.00154323,0.00154323,0.00154323
8,461.141,1.76822,1.72993,1.68846,0.66803,0.47256,0.55471,0.24856,2.05578,1.89186,2.14043,0.0015226,0.0015226,0.0015226
9,518.467,1.71359,1.68606,1.65492,0.63437,0.51601,0.56586,0.24341,2.08069,1.8018,2.19734,0.00150197,0.00150197,0.00150197
10,576.156,1.69955,1.62188,1.63508,0.55663,0.54567,0.54828,0.24214,1.99576,1.84321,2.11053,0.00148134,0.00148134,0.00148134
11,632.908,1.68937,1.57004,1.62983,0.62985,0.54863,0.57926,0.26927,1.917,1.78343,2.01762,0.00146071,0.00146071,0.00146071
12,689.273,1.67333,1.53476,1.62418,0.58658,0.49577,0.51826,0.23489,2.1269,1.83426,2.22645,0.00144008,0.00144008,0.00144008
13,747.064,1.64955,1.51386,1.59897,0.67146,0.56732,0.61537,0.2917,2.004,1.61087,2.13342,0.00141945,0.00141945,0.00141945
